ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	1	1	276730	280599		m	0	0	1	keyboard	1	False	0=1	0=m	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	1	2	282143	282330	1544	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	1	3	302174	329411	19844	J	0	0	1	keyboard	3	False	2=2	2=J	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	1	4	331970	332048	2559	⌫	1	1	-1	keyboard	4	na	na	na	na	na	na	na	na	na	na
.	0	1	5	332563	333202	515	J	0	0	1	keyboard	5	True	4=3|5=4|6=5|7=5|8=5|9=5|10=5|11=5|12=5|13=5|14=5|15=5|16=5|17=5|18=5|19=5|20=5|21=5|22=5|23=5|24=5|25=5|26=5|27=5|28=5|29=5|30=5|31=5|32=5|33=5|34=5|35=5|36=5|37=5|38=5|39=5|40=5|41=5|42=5|43=5|44=5|45=5|46=5|47=5|48=5|49=5|50=5|51=5|52=5|53=5|54=5|55=5|56=5|57=5|58=5|59=5|60=5|61=5|62=5|63=5|64=5|65=5|66=5|67=5|68=5|69=5|70=5|71=5	4=Jj|5=J|6=Je|7=Je|8=Je|9=Je|10=Je|11=Je|12=Je|13=Je|14=Je|15=Je|16=Je|17=Je|18=Je|19=Je|20=Je|21=Je|22=Je|23=Je|24=Je|25=Je|26=Je|27=Je|28=Je|29=Je|30=Je|31=Je|32=Je|33=Je|34=Je|35=Je|36=Je|37=Je|38=Je|39=Je|40=Je|41=Je|42=Je|43=Je|44=Je|45=Je|46=Je|47=Je|48=Je|49=Je|50=Je|51=Je|52=Je|53=Je|54=Je|55=Je|56=Je|57=Je|58=Je|59=Je|60=Je|61=Je|62=Je|63=Je|64=Je|65=Je|66=Je|67=Je|68=Je|69=Je|70=Je|71=Je	4=_|5=_|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je|25=je|26=je|27=je|28=je|29=je|30=je|31=je|32=je|33=je|34=je|35=je|36=je|37=je|38=je|39=je|40=je|41=je|42=je|43=je|44=je|45=je|46=je|47=je|48=je|49=je|50=je|51=je|52=je|53=je|54=je|55=je|56=je|57=je|58=je|59=je|60=je|61=je|62=je|63=je|64=je|65=je|66=je|67=je|68=je|69=je|70=je|71=je	4=X|5=X|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS	4=NC|5=NC|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS	4=|5=|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1|19=n=s|p=1|20=n=s|p=1|21=n=s|p=1|22=n=s|p=1|23=n=s|p=1|24=n=s|p=1|25=n=s|p=1|26=n=s|p=1|27=n=s|p=1|28=n=s|p=1|29=n=s|p=1|30=n=s|p=1|31=n=s|p=1|32=n=s|p=1|33=n=s|p=1|34=n=s|p=1|35=n=s|p=1|36=n=s|p=1|37=n=s|p=1|38=n=s|p=1|39=n=s|p=1|40=n=s|p=1|41=n=s|p=1|42=n=s|p=1|43=n=s|p=1|44=n=s|p=1|45=n=s|p=1|46=n=s|p=1|47=n=s|p=1|48=n=s|p=1|49=n=s|p=1|50=n=s|p=1|51=n=s|p=1|52=n=s|p=1|53=n=s|p=1|54=n=s|p=1|55=n=s|p=1|56=n=s|p=1|57=n=s|p=1|58=n=s|p=1|59=n=s|p=1|60=n=s|p=1|61=n=s|p=1|62=n=s|p=1|63=n=s|p=1|64=n=s|p=1|65=n=s|p=1|66=n=s|p=1|67=n=s|p=1|68=n=s|p=1|69=n=s|p=1|70=n=s|p=1|71=n=s|p=1	4=0|5=0|6=0|7=0|8=8|9=8|10=8|11=8|12=8|13=8|14=8|15=8|16=8|17=8|18=8|19=8|20=8|21=8|22=8|23=8|24=8|25=8|26=8|27=8|28=8|29=8|30=8|31=8|32=8|33=8|34=8|35=8|36=8|37=8|38=8|39=8|40=8|41=8|42=8|43=8|44=8|45=8|46=8|47=8|48=8|49=8|50=8|51=8|52=8|53=8|54=8|55=8|56=8|57=8|58=8|59=8|60=8|61=8|62=8|63=8|64=8|65=8|66=8|67=8|68=8|69=8|70=8|71=8	4=x|5=x|6=x|7=x|8=suj|9=suj|10=suj|11=suj|12=suj|13=suj|14=suj|15=suj|16=suj|17=suj|18=suj|19=suj|20=suj|21=suj|22=suj|23=suj|24=suj|25=suj|26=suj|27=suj|28=suj|29=suj|30=suj|31=suj|32=suj|33=suj|34=suj|35=suj|36=suj|37=suj|38=suj|39=suj|40=suj|41=suj|42=suj|43=suj|44=suj|45=suj|46=suj|47=suj|48=suj|49=suj|50=suj|51=suj|52=suj|53=suj|54=suj|55=suj|56=suj|57=suj|58=suj|59=suj|60=suj|61=suj|62=suj|63=suj|64=suj|65=suj|66=suj|67=suj|68=suj|69=suj|70=suj|71=suj	4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1|25=1|26=1|27=1|28=1|29=1|30=1|31=1|32=1|33=1|34=1|35=1|36=1|37=1|38=1|39=1|40=1|41=1|42=1|43=1|44=1|45=1|46=1|47=1|48=1|49=1|50=1|51=1|52=1|53=1|54=1|55=1|56=1|57=1|58=1|59=1|60=1|61=1|62=1|63=1|64=1|65=1|66=1|67=1|68=1|69=1|70=1|71=1
.	0	1	6	334949	335137	1747	j	1	1	1	keyboard	6	False	4=3	4=Jj	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	1	7	336104	336182	967	⌫	2	2	-1	keyboard	7	na	na	na	na	na	na	na	na	na	na
.	0	1	8	336759	336837	577	e	1	1	1	keyboard	8	True	6=5|7=5|8=5|9=5|10=5|11=5|12=5|13=5|14=5|15=5|16=5|17=5|18=5|19=5|20=5|21=5|22=5|23=5|24=5|25=5|26=5|27=5|28=5|29=5|30=5|31=5|32=5|33=5|34=5|35=5|36=5|37=5|38=5|39=5|40=5|41=5|42=5|43=5|44=5|45=5|46=5|47=5|48=5|49=5|50=5|51=5|52=5|53=5|54=5|55=5|56=5|57=5|58=5|59=5|60=5|61=5|62=5|63=5|64=5|65=5|66=5|67=5|68=5|69=5|70=5|71=5	6=Je|7=Je|8=Je|9=Je|10=Je|11=Je|12=Je|13=Je|14=Je|15=Je|16=Je|17=Je|18=Je|19=Je|20=Je|21=Je|22=Je|23=Je|24=Je|25=Je|26=Je|27=Je|28=Je|29=Je|30=Je|31=Je|32=Je|33=Je|34=Je|35=Je|36=Je|37=Je|38=Je|39=Je|40=Je|41=Je|42=Je|43=Je|44=Je|45=Je|46=Je|47=Je|48=Je|49=Je|50=Je|51=Je|52=Je|53=Je|54=Je|55=Je|56=Je|57=Je|58=Je|59=Je|60=Je|61=Je|62=Je|63=Je|64=Je|65=Je|66=Je|67=Je|68=Je|69=Je|70=Je|71=Je	6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je|25=je|26=je|27=je|28=je|29=je|30=je|31=je|32=je|33=je|34=je|35=je|36=je|37=je|38=je|39=je|40=je|41=je|42=je|43=je|44=je|45=je|46=je|47=je|48=je|49=je|50=je|51=je|52=je|53=je|54=je|55=je|56=je|57=je|58=je|59=je|60=je|61=je|62=je|63=je|64=je|65=je|66=je|67=je|68=je|69=je|70=je|71=je	6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS	6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS	6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1|19=n=s|p=1|20=n=s|p=1|21=n=s|p=1|22=n=s|p=1|23=n=s|p=1|24=n=s|p=1|25=n=s|p=1|26=n=s|p=1|27=n=s|p=1|28=n=s|p=1|29=n=s|p=1|30=n=s|p=1|31=n=s|p=1|32=n=s|p=1|33=n=s|p=1|34=n=s|p=1|35=n=s|p=1|36=n=s|p=1|37=n=s|p=1|38=n=s|p=1|39=n=s|p=1|40=n=s|p=1|41=n=s|p=1|42=n=s|p=1|43=n=s|p=1|44=n=s|p=1|45=n=s|p=1|46=n=s|p=1|47=n=s|p=1|48=n=s|p=1|49=n=s|p=1|50=n=s|p=1|51=n=s|p=1|52=n=s|p=1|53=n=s|p=1|54=n=s|p=1|55=n=s|p=1|56=n=s|p=1|57=n=s|p=1|58=n=s|p=1|59=n=s|p=1|60=n=s|p=1|61=n=s|p=1|62=n=s|p=1|63=n=s|p=1|64=n=s|p=1|65=n=s|p=1|66=n=s|p=1|67=n=s|p=1|68=n=s|p=1|69=n=s|p=1|70=n=s|p=1|71=n=s|p=1	6=0|7=0|8=8|9=8|10=8|11=8|12=8|13=8|14=8|15=8|16=8|17=8|18=8|19=8|20=8|21=8|22=8|23=8|24=8|25=8|26=8|27=8|28=8|29=8|30=8|31=8|32=8|33=8|34=8|35=8|36=8|37=8|38=8|39=8|40=8|41=8|42=8|43=8|44=8|45=8|46=8|47=8|48=8|49=8|50=8|51=8|52=8|53=8|54=8|55=8|56=8|57=8|58=8|59=8|60=8|61=8|62=8|63=8|64=8|65=8|66=8|67=8|68=8|69=8|70=8|71=8	6=x|7=x|8=suj|9=suj|10=suj|11=suj|12=suj|13=suj|14=suj|15=suj|16=suj|17=suj|18=suj|19=suj|20=suj|21=suj|22=suj|23=suj|24=suj|25=suj|26=suj|27=suj|28=suj|29=suj|30=suj|31=suj|32=suj|33=suj|34=suj|35=suj|36=suj|37=suj|38=suj|39=suj|40=suj|41=suj|42=suj|43=suj|44=suj|45=suj|46=suj|47=suj|48=suj|49=suj|50=suj|51=suj|52=suj|53=suj|54=suj|55=suj|56=suj|57=suj|58=suj|59=suj|60=suj|61=suj|62=suj|63=suj|64=suj|65=suj|66=suj|67=suj|68=suj|69=suj|70=suj|71=suj	6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1|25=1|26=1|27=1|28=1|29=1|30=1|31=1|32=1|33=1|34=1|35=1|36=1|37=1|38=1|39=1|40=1|41=1|42=1|43=1|44=1|45=1|46=1|47=1|48=1|49=1|50=1|51=1|52=1|53=1|54=1|55=1|56=1|57=1|58=1|59=1|60=1|61=1|62=1|63=1|64=1|65=1|66=1|67=1|68=1|69=1|70=1|71=1
.	0	1	9	337601	337679	764	␣	2	2	1	keyboard	9	True	na	na	na	na	na	na	na	na	na
.	0	1	10	338662	338740	983	p	3	3	1	keyboard	10	True	6=6|7=7|8=8|9=8|10=8|11=8|12=8|13=8|14=8|15=8|16=8|17=8|18=8|19=8|20=8|21=8|22=8|23=8|24=8|25=8|26=8|27=8|28=8|29=8|30=8|31=8|32=8|33=8|34=8|35=8|36=8|37=8|38=8|39=8|40=8|41=8|42=8|43=8|44=8|45=8|46=8|47=8|48=8|49=8|50=8|51=8|52=8|53=8|54=8|55=8|56=8|57=8|58=8|59=8|60=8|61=8|62=8|63=8|64=8|65=8|66=8|67=8|68=8|69=8|70=8|71=8	6=ped|7=pe|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense|25=pense|26=pense|27=pense|28=pense|29=pense|30=pense|31=pense|32=pense|33=pense|34=pense|35=pense|36=pense|37=pense|38=pense|39=pense|40=pense|41=pense|42=pense|43=pense|44=pense|45=pense|46=pense|47=pense|48=pense|49=pense|50=pense|51=pense|52=pense|53=pense|54=pense|55=pense|56=pense|57=pense|58=pense|59=pense|60=pense|61=pense|62=pense|63=pense|64=pense|65=pense|66=pense|67=pense|68=pense|69=pense|70=pense|71=pense	6=_|7=_|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser|25=penser|26=penser|27=penser|28=penser|29=penser|30=penser|31=penser|32=penser|33=penser|34=penser|35=penser|36=penser|37=penser|38=penser|39=penser|40=penser|41=penser|42=penser|43=penser|44=penser|45=penser|46=penser|47=penser|48=penser|49=penser|50=penser|51=penser|52=penser|53=penser|54=penser|55=penser|56=penser|57=penser|58=penser|59=penser|60=penser|61=penser|62=penser|63=penser|64=penser|65=penser|66=penser|67=penser|68=penser|69=penser|70=penser|71=penser	6=X|7=X|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V|25=V|26=V|27=V|28=V|29=V|30=V|31=V|32=V|33=V|34=V|35=V|36=V|37=V|38=V|39=V|40=V|41=V|42=V|43=V|44=V|45=V|46=V|47=V|48=V|49=V|50=V|51=V|52=V|53=V|54=V|55=V|56=V|57=V|58=V|59=V|60=V|61=V|62=V|63=V|64=V|65=V|66=V|67=V|68=V|69=V|70=V|71=V	6=NPP|7=ADV|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V|25=V|26=V|27=V|28=V|29=V|30=V|31=V|32=V|33=V|34=V|35=V|36=V|37=V|38=V|39=V|40=V|41=V|42=V|43=V|44=V|45=V|46=V|47=V|48=V|49=V|50=V|51=V|52=V|53=V|54=V|55=V|56=V|57=V|58=V|59=V|60=V|61=V|62=V|63=V|64=V|65=V|66=V|67=V|68=V|69=V|70=V|71=V	6=|7=|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3|25=n=s|t=P,S|p=1,3|26=n=s|t=P,S|p=1,3|27=n=s|t=P,S|p=1,3|28=n=s|t=P,S|p=1,3|29=n=s|t=P,S|p=1,3|30=n=s|t=P,S|p=1,3|31=n=s|t=P,S|p=1,3|32=n=s|t=P,S|p=1,3|33=n=s|t=P,S|p=1,3|34=n=s|t=P,S|p=1,3|35=n=s|t=P,S|p=1,3|36=n=s|t=P,S|p=1,3|37=n=s|t=P,S|p=1,3|38=n=s|t=P,S|p=1,3|39=n=s|t=P,S|p=1,3|40=n=s|t=P,S|p=1,3|41=n=s|t=P,S|p=1,3|42=n=s|t=P,S|p=1,3|43=n=s|t=P,S|p=1,3|44=n=s|t=P,S|p=1,3|45=n=s|t=P,S|p=1,3|46=n=s|t=P,S|p=1,3|47=n=s|t=P,S|p=1,3|48=n=s|t=P,S|p=1,3|49=n=s|t=P,S|p=1,3|50=n=s|t=P,S|p=1,3|51=n=s|t=P,S|p=1,3|52=n=s|t=P,S|p=1,3|53=n=s|t=P,S|p=1,3|54=n=s|t=P,S|p=1,3|55=n=s|t=P,S|p=1,3|56=n=s|t=P,S|p=1,3|57=n=s|t=P,S|p=1,3|58=n=s|t=P,S|p=1,3|59=n=s|t=P,S|p=1,3|60=n=s|t=P,S|p=1,3|61=n=s|t=P,S|p=1,3|62=n=s|t=P,S|p=1,3|63=n=s|t=P,S|p=1,3|64=n=s|t=P,S|p=1,3|65=n=s|t=P,S|p=1,3|66=n=s|t=P,S|p=1,3|67=n=s|t=P,S|p=1,3|68=n=s|t=P,S|p=1,3|69=n=s|t=P,S|p=1,3|70=n=s|t=P,S|p=1,3|71=n=s|t=P,S|p=1,3	6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0|25=0|26=0|27=0|28=0|29=0|30=0|31=0|32=0|33=0|34=0|35=0|36=0|37=0|38=0|39=0|40=0|41=0|42=0|43=0|44=0|45=0|46=0|47=0|48=0|49=0|50=0|51=0|52=0|53=0|54=0|55=0|56=0|57=0|58=0|59=0|60=0|61=0|62=0|63=0|64=0|65=0|66=0|67=0|68=0|69=0|70=0|71=0	6=x|7=x|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root|25=root|26=root|27=root|28=root|29=root|30=root|31=root|32=root|33=root|34=root|35=root|36=root|37=root|38=root|39=root|40=root|41=root|42=root|43=root|44=root|45=root|46=root|47=root|48=root|49=root|50=root|51=root|52=root|53=root|54=root|55=root|56=root|57=root|58=root|59=root|60=root|61=root|62=root|63=root|64=root|65=root|66=root|67=root|68=root|69=root|70=root|71=root	6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1|25=1|26=1|27=1|28=1|29=1|30=1|31=1|32=1|33=1|34=1|35=1|36=1|37=1|38=1|39=1|40=1|41=1|42=1|43=1|44=1|45=1|46=1|47=1|48=1|49=1|50=1|51=1|52=1|53=1|54=1|55=1|56=1|57=1|58=1|59=1|60=1|61=1|62=1|63=1|64=1|65=1|66=1|67=1|68=1|69=1|70=1|71=1
