ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	1	1	195610	195812		J	0	0	1	keyboard	1	False	0=1	0=J	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	1	2	197482	197606	1670	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	1	3	200570	201163	2964	j	0	0	1	keyboard	3	False	2=2	2=jE	2=je	2=CLS	2=NC	2=	2=0	2=x	2=1
.	0	1	4	202910	204985	1747	E	1	1	1	keyboard	4	False	2=2	2=jE	2=je	2=CLS	2=NC	2=	2=0	2=x	2=1
.	0	1	5	206873	207029	1888	⌫	2	2	-1	keyboard	5	na	na	na	na	na	na	na	na	na	na
.	0	1	6	207247	207403	218	⌫	1	1	-1	keyboard	6	na	na	na	na	na	na	na	na	na	na
.	0	1	7	210757	211366	3354	J	0	0	1	keyboard	7	False	4=3	4=JE	4=je	4=CLS	4=CLS	4=n=s|p=1	4=0	4=x	4=1
.	0	1	8	213207	214579	1841	E	1	1	1	keyboard	8	False	4=3	4=JE	4=je	4=CLS	4=CLS	4=n=s|p=1	4=0	4=x	4=1
.	0	1	9	219805	219946	5226	⌫	2	2	-1	keyboard	9	na	na	na	na	na	na	na	na	na	na
.	0	1	10	224579	224704	4633	⌫	1	1	-1	keyboard	10	na	na	na	na	na	na	na	na	na	na
.	0	1	11	235187	235951	10483	A	0	0	1	keyboard	11	False	6=4	6=A	6=à	6=P	6=P	6=	6=0	6=x	6=1
.	0	1	12	237340	237418	1389	⌫	1	1	-1	keyboard	12	na	na	na	na	na	na	na	na	na	na
