ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	10	1	46582	47222		a	0	0	1	keyboard	1	False	0=1	0=a	0=_	0=X	0=VPR	0=	0=0	0=x	0=1
.	0	10	2	48407	48470	1185	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	10	3	49172	50607	702	A	0	0	1	keyboard	3	False	2=2	2=A	2=_	2=X	2=P	2=	2=0	2=x	2=1
.	0	10	4	54132	54288	3525	⌫	1	1	-1	keyboard	4	na	na	na	na	na	na	na	na	na	na
.	0	10	5	58126	58251	3838	c	0	0	1	keyboard	5	False	4=3	4=c	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	10	6	58142	59811		⌫	1	1	-1	keyboard	6	na	na	na	na	na	na	na	na	na	na
.	0	10	7	64429	64585	4618	c	0	0	1	keyboard	7	False	6=4	6=c	6=_	6=X	6=NC	6=	6=0	6=x	6=1
.	0	10	8	64600	65879	15	⌫	1	1	-1	keyboard	8	na	na	na	na	na	na	na	na	na	na
.	0	10	9	69062	69218	3183	c	0	0	1	keyboard	9	False	8=5	8=c	8=_	8=X	8=NC	8=	8=0	8=x	8=1
.	0	10	10	69077	71885		⌫	1	1	-1	keyboard	10	na	na	na	na	na	na	na	na	na	na
