sum_edge_lengths,mean_dependency_distance,head_initial,exp_sum_edge_lengths,mean_hierarchical_distance,n,predicted_num_crossings,exp_num_crossings,tree_diameter,avg_pause_before_token,avg_pause_before_char
0,,,0.0,,1,0.0,0.0,0,0.0,0.0
1,1.0,1.0,1.0,1.0,2,0.0,0.0,1,1926.0,1409.0
0,,,0.0,,1,0.0,0.0,0,1263.0,819.0
16,2.0,0.375,26.6667,1.25,9,1.6256,3.66667,4,3710.8888888888887,2226.3214285714284
14,2.0,0.142857,21.0,1.28571,8,0.0,3.0,4,1458.375,1503.9259259259259
40,2.66667,0.4,85.0,1.46667,16,3.04864,20.0,4,5080.625,2280.4464285714284
40,2.66667,0.4,85.0,1.46667,16,3.04864,20.0,4,5080.625,2445.52
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
31,2.38462,0.384615,65.0,2.23077,14,2.24441,18.6667,6,2282.0714285714284,1592.2272727272727
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
31,2.38462,0.384615,65.0,2.23077,14,2.24441,18.6667,6,2282.0714285714284,1618.3720930232557
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
50,3.57143,0.357143,74.6667,1.64286,15,3.72131,21.0,4,3007.733333333333,1778.36
1,1.0,0.0,1.0,1.0,2,0.0,0.0,1,2901.5,1379.0
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
50,3.57143,0.357143,74.6667,1.64286,15,3.72131,21.0,4,3007.733333333333,1778.36
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
0,,,0.0,,1,0.0,0.0,0,1654.0,1076.5
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
38,2.71429,0.428571,74.6667,1.42857,15,3.34132,15.6667,4,4843.2,2283.8333333333335
56,3.73333,0.333333,85.0,1.66667,16,5.19839,24.3333,4,3563.6875,1778.36
