n	head_initial	mean_hierarchical_distance	tree_diameter	num_crossings	predicted_num_crossings	exp_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	mean_dependency_distance
1	nan	nan	0	0	0	0	0	0	nan
2	1	1	1	0	0	0	1	1	1
1	nan	nan	0	0	0	0	0	0	nan
9	0.375	1.25	4	1	1.6256	3.66667	16	26.6667	2
8	0.142857	1.28571	4	0	0	3	14	21	2
16	0.4	1.46667	4	0	3.04864	20	40	85	2.66667
16	0.4	1.46667	4	0	3.04864	20	40	85	2.66667
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
14	0.384615	2.23077	6	0	2.24441	18.6667	31	65	2.38462
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
14	0.384615	2.23077	6	0	2.24441	18.6667	31	65	2.38462
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
15	0.357143	1.64286	4	0	3.72131	21	50	74.6667	3.57143
2	0	1	1	0	0	0	1	1	1
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
15	0.357143	1.64286	4	0	3.72131	21	50	74.6667	3.57143
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
1	nan	nan	0	0	0	0	0	0	nan
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
2	0	1	1	0	0	0	1	1	1
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
2	0	1	1	0	0	0	1	1	1
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
4	0.333333	1	2	0	0	0	4	5	1.33333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
4	0.333333	1	2	0	0	0	4	5	1.33333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
8	0.285714	1.71429	5	0	0.571429	4.33333	11	21	1.57143
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
8	0.428571	1.57143	4	0	0.571429	3.66667	11	21	1.57143
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
9	0.25	2	6	0	0.75	6.33333	13	26.6667	1.625
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
9	0.25	2	6	0	0.75	6.33333	13	26.6667	1.625
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
4	0	1.33333	3	0	0	0.333333	4	5	1.33333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
4	0	1.33333	3	0	0	0.333333	4	5	1.33333
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
14	0.307692	2.46154	7	0	2.45575	19	23	65	1.76923
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
14	0.307692	2.46154	7	0	2.45575	19	23	65	1.76923
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
15	0.285714	1.92857	6	0	2.37382	23.3333	28	74.6667	2
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
15	0.285714	1.92857	6	0	2.37382	23.3333	28	74.6667	2
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
17	0.3125	2.125	6	0	5.01137	31	39	96	2.4375
2	1	1	1	0	0	0	1	1	1
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
17	0.3125	2.125	6	0	5.01137	31	39	96	2.4375
1	nan	nan	0	0	0	0	0	0	nan
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
17	0.3125	2.125	6	0	5.01137	31	39	96	2.4375
9	0.375	1.375	4	0	1.05769	4.66667	20	26.6667	2.5
2	0	1	1	0	0	0	1	1	1
1	nan	nan	0	0	0	0	0	0	nan
1	nan	nan	0	0	0	0	0	0	nan
9	0.5	1.75	5	0	0.2	5.66667	17	26.6667	2.125
7	0.5	1.33333	3	0	0.904762	2	16	16	2.66667
14	0.538462	1.61538	5	0	2.3801	16.6667	50	65	3.84615
13	0.5	1.75	5	0	2.99849	14.3333	30	56	2.5
13	0.5	1.66667	5	0	2.15973	14.3333	38	56	3.16667
13	0.5	1.75	5	0	2.99849	14.3333	30	56	2.5
31	0.466667	3.73333	10	0	11.7514	127.667	85	320	2.83333
30	0.482759	3.27586	9	0	11.3658	118.333	110	299.667	3.7931
34	0.515152	3.39394	10	0	11.0126	156.333	129	385	3.90909
34	0.515152	3.39394	10	0	11.0126	156.333	129	385	3.90909
49	0.5	4.33333	13	0	16.6259	347	178	800	3.70833
49	0.479167	4.35417	13	0	18.1034	346.333	180	800	3.75
54	0.490566	4.54717	13	0	19.502	425.333	243	971.667	4.58491
54	0.490566	4.56604	13	0	18.4917	425.667	240	971.667	4.5283
54	0.509434	4.01887	12	0	21.6794	427	249	971.667	4.69811
54	0.490566	4.22642	12	0	21.9173	428.333	150	971.667	2.83019
58	0.473684	4.89474	13	0	22.4257	495.333	163	1121	2.85965
58	0.491228	4.98246	14	0	21.2683	496.333	155	1121	2.7193
60	0.457627	5.16949	14	0	23.6192	533	161	1199.67	2.72881
60	0.440678	5.0339	14	0	25.9911	532	221	1199.67	3.74576
62	0.47541	4.63934	13	0	27.0102	572.333	234	1281	3.83607
62	0.47541	4.63934	13	0	27.0102	572.333	234	1281	3.83607
62	0.47541	4.63934	13	0	27.0102	572.333	234	1281	3.83607
62	0.47541	4.32787	12	0	27.3692	572	179	1281	2.93443
62	0.47541	4.32787	12	0	27.3692	572	179	1281	2.93443
60	0.474576	4.54237	13	0	26.8955	534	229	1199.67	3.88136
65	0.46875	5.07812	14	0	29.2182	632.667	179	1408	2.79688
65	0.453125	4.875	13	0	29.796	632	186	1408	2.90625
68	0.447761	5.10448	15	0	30.2809	696	190	1541	2.83582
67	0.454545	5.12121	15	0	30.0648	674.667	246	1496	3.72727
68	0.432836	4.91045	15	0	29.8579	697	185	1541	2.76119
67	0.454545	5.12121	15	0	30.0648	674.667	246	1496	3.72727
68	0.447761	5.31343	15	0	31.5572	696.667	187	1541	2.79104
67	0.454545	5.12121	15	0	30.0648	674.667	246	1496	3.72727
73	0.5	5.51389	16	1	31.9387	807.667	265	1776	3.68056
73	0.5	5.54167	17	1	31.3421	808	264	1776	3.66667
75	0.445946	5.86486	18	1	34.8554	855.667	205	1874.67	2.77027
75	0.5	5.82432	17	1	32.2024	855.667	199	1874.67	2.68919
81	0.5	5.7	17	3	39.852	998	523	2186.67	6.5375
81	0.5	5.7	17	3	39.852	998	523	2186.67	6.5375
88	0.448276	6.6092	18	0	43.7555	1188.33	333	2581	3.82759
88	0.448276	6.6092	18	0	43.7555	1188.33	333	2581	3.82759
89	0.443182	6.82955	19	0	43.8126	1218	250	2640	2.84091
44	0.511628	3.76744	12	0	15.4488	275.667	165	645	3.83721
46	0.4	5.44444	11	1	19.4887	297.333	162	705	3.6
89	0.431818	6.79545	19	0	41.6563	1217.67	247	2640	2.80682
89	0.443182	6.79545	19	0	41.6563	1217	247	2640	2.80682
90	0.438202	6.83146	19	1	44.7085	1245.67	256	2699.67	2.8764
91	0.422222	6.91111	19	1	45.9325	1275.33	259	2760	2.87778
90	0.404494	5.47191	18	1	46.7133	1245.67	259	2699.67	2.91011
90	0.404494	5.47191	18	1	46.7133	1245.67	259	2699.67	2.91011
89	0.409091	6.26136	18	1	42.6243	1216.67	248	2640	2.81818
90	0.41573	5.13483	17	1	51.2847	1242.67	403	2699.67	4.52809
2	0	1	1	0	0	0	1	1	1
2	0	1	1	0	0	0	1	1	1
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
4	0.333333	1.33333	3	0	0	0.333333	3	5	1
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
2	0	1	1	0	0	0	1	1	1
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
3	0.5	1	2	0	0	0	2	2.66667	1
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
3	1	1	2	0	0	0	3	2.66667	1.5
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
3	0.5	1	2	0	0	0	2	2.66667	1
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
20	0.368421	1.84211	6	0	7.06527	42.6667	50	133	2.63158
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
20	0.368421	1.84211	6	0	7.06527	42.6667	50	133	2.63158
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
20	0.368421	1.84211	6	0	7.06527	42.6667	50	133	2.63158
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
20	0.368421	1.84211	6	0	7.06527	42.6667	50	133	2.63158
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
23	0.454545	1.72727	6	0	9.68181	54.6667	86	176	3.90909
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
20	0.368421	1.84211	6	0	7.06527	42.6667	50	133	2.63158
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
22	0.380952	1.90476	6	0	7.91727	53.6667	55	161	2.61905
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
21	0.4	1.8	6	0	8.03931	46.6667	61	146.667	3.05
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
21	0.4	1.8	6	0	8.03931	46.6667	61	146.667	3.05
14	0.307692	1.30769	3	0	3.56767	10.6667	41	65	3.15385
