n	head_initial	mean_hierarchical_distance	tree_diameter	num_crossings	predicted_num_crossings	exp_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	mean_dependency_distance
16	0.333333	1.53333	5	0	2.18665	22.6667	45	85	3
19	0.388889	2.61111	8	0	4.81231	40.3333	33	120	1.83333
40	0.384615	2.69231	9	0	17.7747	215.333	124	533	3.17949
40	0.205128	3.4359	11	0	21.9668	214.667	107	533	2.74359
37	0.333333	3.5	7	0	17.1963	180.667	124	456	3.44444
21	0.5	2.05	5	1	5.95785	47.3333	67	146.667	3.35
38	0.27027	2.40541	8	0	24.4141	188.667	149	481	4.02703
21	0.45	2.25	7	0	6.85016	49.6667	78	146.667	3.9
20	0.421053	3	6	0	6.42619	45.3333	59	133	3.10526
11	0.4	1.4	4	0	1.21411	7.66667	26	40	2.6
26	0.36	2.12	7	0	9.20393	81.6667	102	225	4.08
12	0.272727	1.72727	5	0	3.58302	12	26	47.6667	2.36364
14	0.384615	1.69231	5	0	3.09915	17.6667	34	65	2.61538
13	0.416667	1.33333	4	0	1.13086	11	31	56	2.58333
70	0.42029	3.05797	11	1	39.3212	731	373	1633	5.4058
19	0.5	3.61111	8	0	4.75593	41.3333	33	120	1.83333
17	0.5	3.8125	8	0	2.63423	32	40	96	2.5
11	0.4	1.9	4	0	2.31862	9.66667	25	40	2.5
20	0.315789	2.15789	6	0	9.5002	42.3333	71	133	3.73684
12	0.181818	1.81818	5	0	2.2716	12.6667	35	47.6667	3.18182
20	0.368421	2.15789	7	0	5.81177	44.6667	64	133	3.36842
17	0.3125	2.25	6	0	7.03165	30.6667	44	96	2.75
16	0.4	1.86667	6	0	5.03516	25.3333	50	85	3.33333
10	0.333333	1.77778	4	0	2.60455	7	22	33	2.44444
37	0.305556	2.72222	8	1	17.4729	179.333	134	456	3.72222
26	0.28	2.4	8	1	9.75958	84	78	225	3.12
26	0.36	2.8	10	1	10.6193	80.6667	89	225	3.56
34	0.30303	2	7	1	17.7544	145.333	149	385	4.51515
15	0.5	2.71429	7	0	3.3705	22.3333	34	74.6667	2.42857
57	0.375	3.5	9	0	31.1438	463	212	1082.67	3.78571
21	0.25	2.4	7	0	9.35216	48.3333	60	146.667	3
34	0.30303	2.66667	9	0	21.9626	151	136	385	4.12121
30	0.37931	2.65517	9	0	16.6667	115.667	118	299.667	4.06897
1	nan	nan	0	0	0	0	0	0	nan
42	0.317073	3.36585	9	0	20.4731	244.333	156	587.667	3.80488
9	0.25	1.375	4	0	1.20455	4.66667	18	26.6667	2.25
8	0.285714	1.57143	3	0	1.08333	2.66667	22	21	3.14286
16	0.266667	2.13333	7	0	5.4359	26.3333	36	85	2.4
13	0.5	2.5	6	0	2.11922	16.3333	31	56	2.58333
9	0.5	1.375	4	0	0.654545	4.66667	22	26.6667	2.75
12	0.545455	2.54545	5	0	1.43564	13	29	47.6667	2.63636
8	0.428571	1.85714	4	0	1.03788	4	16	21	2.28571
10	0.444444	2	5	0	1.45455	7.66667	19	33	2.11111
17	0.4375	1.875	6	0	3.29403	29.6667	48	96	3
22	0.380952	2.57143	6	0	7.37767	56	50	161	2.38095
45	0.431818	2.54545	9	0	17.4117	282.667	156	674.667	3.54545
8	0.285714	1.85714	4	0	0	3	15	21	2.14286
9	0.25	1.875	4	0	0.829545	5.66667	15	26.6667	1.875
11	0.2	1.4	4	0	0	8.66667	22	40	2.2
11	0.2	1.6	4	0	2.20628	9	27	40	2.7
8	0.571429	1.71429	5	0	0.571429	4.33333	21	21	3
7	0.666667	2	5	0	0.833333	3	13	16	2.16667
63	0.451613	4.1129	13	4	31.0519	579.333	231	1322.67	3.72581
27	0.461538	2.73077	6	0	6.99583	91.3333	89	242.667	3.42308
16	0.466667	2.46667	5	1	5.71025	24.6667	65	85	4.33333
22	0.333333	3.2381	9	4	9.32448	57.3333	63	161	3
