Person,Sentence,Text_Version,Tokens,Num_Nodes,Head_Initial,Mean_Hierarchical_Distance,Tree_Diameter,Num_Crossings,Predicted_Num_Crossings,Expected_Num_Crossings,Sum_Edge_Lengths,Expected_Sum_Edge_Lengths,Mean_Dependency_Distance,Avg_Char_Pause,Median_Char_Pause
P18C6E2,1,0,1,1,nan,nan,0,0,0,0,0,0,nan,0.0,0.0
P18C6E2,1,2,2,2,1,1,1,0,0,0,1,1,1,1409.0,1263.0
P18C6E2,1,3,1,1,nan,nan,0,0,0,0,0,0,nan,819.0,819.0
P18C6E2,1,4,9,9,0.375,1.25,4,1,1.6256,3.66667,16,26.6667,2,2226.3214285714284,647.5
P18C6E2,1,5,8,8,0.142857,1.28571,4,0,0,3,14,21,2,1503.9259259259259,593.0
P18C6E2,1,6,16,16,0.4,1.46667,4,0,3.04864,20,40,85,2.66667,2280.4464285714284,663.0
P18C6E2,1,7,16,16,0.4,1.46667,4,0,3.04864,20,40,85,2.66667,2445.52,686.5
P18C6E2,1,8,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,8,14,14,0.384615,2.23077,6,0,2.24441,18.6667,31,65,2.38462,1592.2272727272727,733.5
P18C6E2,1,9,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,9,14,14,0.384615,2.23077,6,0,2.24441,18.6667,31,65,2.38462,1618.3720930232557,780.0
P18C6E2,1,10,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,10,15,15,0.357143,1.64286,4,0,3.72131,21,50,74.6667,3.57143,1778.36,787.5
P18C6E2,3,10,2,2,0,1,1,0,0,0,1,1,1,1379.0,405.0
P18C6E2,1,11,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,11,15,15,0.357143,1.64286,4,0,3.72131,21,50,74.6667,3.57143,1778.36,787.5
P18C6E2,1,12,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,12,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,1,13,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,13,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,13,1,1,nan,nan,0,0,0,0,0,0,nan,1076.5,1076.5
P18C6E2,1,14,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,14,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,1,15,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,15,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,15,2,2,0,1,1,0,0,0,1,1,1,925.3333333333334,1006.0
P18C6E2,1,16,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,16,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,16,2,2,0,1,1,0,0,0,1,1,1,876.4,842.0
P18C6E2,1,17,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,17,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,17,4,4,0.333333,1,2,0,0,0,4,5,1.33333,605.5833333333334,468.0
P18C6E2,1,18,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,18,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,18,4,4,0.333333,1,2,0,0,0,4,5,1.33333,639.3636363636364,499.0
P18C6E2,1,19,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,19,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,19,8,8,0.285714,1.71429,5,0,0.571429,4.33333,11,21,1.57143,1330.7391304347825,640.0
P18C6E2,1,20,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,20,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,20,8,8,0.428571,1.57143,4,0,0.571429,3.66667,11,21,1.57143,1315.3636363636363,640.0
P18C6E2,1,21,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,21,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,21,9,9,0.25,2,6,0,0.75,6.33333,13,26.6667,1.625,1186.5806451612902,702.0
P18C6E2,1,22,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,22,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,22,9,9,0.25,2,6,0,0.75,6.33333,13,26.6667,1.625,1238.5,671.0
P18C6E2,1,23,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,23,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,23,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,23,4,4,0,1.33333,3,0,0,0.333333,4,5,1.33333,986.6875,1053.0
P18C6E2,1,24,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,24,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,24,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,24,4,4,0,1.33333,3,0,0,0.333333,4,5,1.33333,1032.7333333333333,1092.0
P18C6E2,1,25,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,25,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,25,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,25,14,14,0.307692,2.46154,7,0,2.45575,19,23,65,1.76923,1104.2,796.0
P18C6E2,1,26,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,26,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,26,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,26,14,14,0.307692,2.46154,7,0,2.45575,19,23,65,1.76923,1122.591836734694,796.0
P18C6E2,1,27,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,27,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,27,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,27,15,15,0.285714,1.92857,6,0,2.37382,23.3333,28,74.6667,2,1079.1153846153845,772.5
P18C6E2,1,28,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,28,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,28,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,28,15,15,0.285714,1.92857,6,0,2.37382,23.3333,28,74.6667,2,1079.1153846153845,772.5
P18C6E2,1,29,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,29,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,29,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,29,17,17,0.3125,2.125,6,0,5.01137,31,39,96,2.4375,1023.1,741.0
P18C6E2,5,29,2,2,1,1,1,0,0,0,1,1,1,1219.142857142857,437.0
P18C6E2,1,30,15,15,0.428571,1.42857,4,0,3.34132,15.6667,38,74.6667,2.71429,2283.8333333333335,655.0
P18C6E2,2,30,16,16,0.333333,1.66667,4,0,5.19839,24.3333,56,85,3.73333,1778.36,787.5
P18C6E2,3,30,10,10,0.333333,1.88889,6,0,1.20261,8,19,33,2.11111,1361.909090909091,702.0
P18C6E2,4,30,17,17,0.3125,2.125,6,0,5.01137,31,39,96,2.4375,1023.1,741.0
