n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_bipartite	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_bipartite	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths	max_sum_edge_lengths_1_thistle	max_sum_edge_lengths_bipartite	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_tree
1	0	0	0	0	0	0	0	0	0	nan	nan	0	nan	0	2	0	2	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0
2	1	0.5	1	0.5	2	1	2	1	0	1	nan	1	1	0	1	0	1	1	0	0	0	0	0	nan	1	1	1	1	1	0	nan	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0
1	0	0	0	0	0	0	0	0	0	nan	nan	0	nan	0	2	0	2	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0
9	5.55556	4.22222	26.4444	24.2222	50	38	238	218	11	0.375	0.47619	10	1.25	5	10	5	10	4	0	1	1.6256	3.66667	5.18889	-1.17066	16	26.6667	36	22.3333	23.2593	28.1111	-2.01182	14	0	14	14	45	40	0	36	34	2	2	1.125	1	4	1.875	1	2	1.25	1	4	2	1	2	0.885417	0.25	1	0.697917	0.25	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0
8	4.75	3.375	18.25	15.875	38	27	146	127	9	0.142857	0.4	9	1.28571	5	9	5	9	4	0	0	0	3	3.76667	-1.54576	14	21	28	17.3333	18.25	17.4	-1.67812	11	0	11	11	35	31	0	28	26	2	1	1	1	4	2	1	1	1	1	4	2	1	1	0.654762	0.25	1	0.654762	0.25	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
16	7.5	5.6875	47.25	39.9375	120	91	756	639	60	0.4	0.340659	22	1.46667	5	17	5	17	4	1	0	3.04864	20	53.1444	-2.74348	40	85	120	60.1667	64.5625	221	-3.02703	34	0	34	34	166	160	0	118	106	2.66667	2	1.33333	1	4	2	1	4	1.8	1	5	2.66667	1	4	1.21667	0.25	1	0.593333	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
16	7.5	5.6875	47.25	39.9375	120	91	756	639	60	0.4	0.340659	22	1.46667	5	17	5	17	4	1	0	3.04864	20	53.1444	-2.74348	40	85	120	60.1667	64.5625	221	-3.02703	34	0	34	34	166	160	0	118	106	2.66667	2	1.33333	1	4	2	1	4	1.8	1	5	2.66667	1	4	1.21667	0.25	1	0.593333	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
14	5	2.64286	17.7143	8.64286	70	37	248	121	56	0.384615	0.151515	29	2.23077	3	15	2	3	6	1	0	2.24441	18.6667	41.9111	-2.88338	31	65	91	36.6667	45.2381	114.667	-3.17512	21	0	21	21	119	115	0	87	59	2.38462	2	1.46154	1	4	2.23077	1	3	1.61538	1	4	2.38462	1	2	0.878205	0.25	1	0.698718	0.25	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
15	7.73333	6	49.8667	42.5333	116	90	748	638	47	0.428571	0.397436	20	1.42857	5	16	5	16	4	0	0	3.34132	15.6667	41.7222	-2.42545	38	74.6667	105	56.3333	59.3778	183.111	-2.70966	32	0	32	32	146	139	0	105	99	2.71429	2	1.35714	1	4	2	1	4	1.85714	1	5	2.71429	1	4	1.26786	0.25	1	0.6	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
