Pause Before,Size,Left Span,Right Span,Weight,RL Ratio,WS Ratio
328,1,1,1,1,1.0,1.0
2371,2,2,1,1,0.5,0.5
344,3,3,2,2,0.6666666666666666,0.6666666666666666
6099,3,3,1,1,0.3333333333333333,0.3333333333333333
218,4,4,1,1,0.25,0.25
234,4,1,4,1,4.0,0.25
1279,5,2,4,2,2.0,0.39999999999999997
484,3,1,3,1,3.0,0.3333333333333333
172,4,2,3,2,1.5,0.5
218,5,3,3,2,1.0,0.39999999999999997
452,2,1,2,1,2.0,0.5
312,3,2,2,2,1.0,0.6666666666666666
1170,2,2,2,2,1.0,1.0
733,3,3,2,2,0.6666666666666666,0.6666666666666666
4165,1,1,1,1,1.0,1.0
203,1,1,1,1,1.0,1.0
219,2,2,1,1,0.5,0.5
234,3,3,1,1,0.3333333333333333,0.3333333333333333
624,2,1,2,1,2.0,0.5
405,3,2,2,2,1.0,0.6666666666666666
5288,1,1,1,1,1.0,1.0
219,2,2,1,1,0.5,0.5
2512,1,1,1,1,1.0,1.0
1482,2,2,1,1,0.5,0.5
3073,3,3,1,1,0.3333333333333333,0.3333333333333333
4914,1,1,1,1,1.0,1.0
514,2,2,1,1,0.5,0.5
671,3,3,1,1,0.3333333333333333,0.3333333333333333
249,1,1,1,1,1.0,1.0
452,2,2,1,1,0.5,0.5
1014,1,1,1,1,1.0,1.0
468,2,1,2,1,2.0,0.5
687,1,1,1,1,1.0,1.0
234,1,1,1,1,1.0,1.0
6926,1,1,1,1,1.0,1.0
312,2,2,2,2,1.0,1.0
951,3,3,2,2,0.6666666666666666,0.6666666666666666
297,4,4,2,2,0.5,0.5
141,5,5,2,2,0.39999999999999997,0.39999999999999997
219,3,2,2,2,1.0,0.6666666666666666
328,4,3,2,2,0.6666666666666666,0.5
249,3,3,2,2,0.6666666666666666,0.6666666666666666
5148,2,2,1,1,0.5,0.5
733,3,3,1,1,0.3333333333333333,0.3333333333333333
234,4,4,1,1,0.25,0.25
124,4,1,4,1,4.0,0.25
749,3,1,3,1,3.0,0.3333333333333333
250,4,2,3,2,1.5,0.5
3993,3,2,3,2,1.5,0.6666666666666666
140,4,3,3,2,1.0,0.5
2949,2,1,2,1,2.0,0.5
172,3,2,2,2,1.0,0.6666666666666666
109,4,3,2,2,0.6666666666666666,0.5
422,3,2,3,2,1.5,0.6666666666666666
78,4,3,3,3,1.0,0.75
967,5,4,3,3,0.75,0.6
13182,2,2,2,2,1.0,1.0
265,3,3,2,2,0.6666666666666666,0.6666666666666666
453,4,4,2,2,0.5,0.5
234,3,2,3,2,1.5,0.6666666666666666
172,5,3,4,3,1.3333333333333333,0.6
359,4,3,3,3,1.0,0.75
8486,2,2,2,2,1.0,1.0
265,3,3,2,2,0.6666666666666666,0.6666666666666666
234,4,4,2,2,0.5,0.5
219,5,5,2,2,0.39999999999999997,0.39999999999999997
156,3,2,3,2,1.5,0.6666666666666666
312,2,2,2,2,1.0,1.0
920,2,2,2,2,1.0,1.0
110,3,3,2,2,0.6666666666666666,0.6666666666666666
296,4,4,2,2,0.5,0.5
156,1,1,1,1,1.0,1.0
312,1,1,1,1,1.0,1.0
156,2,2,2,2,1.0,1.0
312,3,3,2,2,0.6666666666666666,0.6666666666666666
281,3,2,2,2,1.0,0.6666666666666666
171,4,3,2,2,0.6666666666666666,0.5
7379,5,4,2,2,0.5,0.39999999999999997
296,2,2,1,1,0.5,0.5
375,3,3,1,1,0.3333333333333333,0.3333333333333333
234,4,4,1,1,0.25,0.25
515,5,5,1,1,0.19999999999999998,0.19999999999999998
140,1,1,1,1,1.0,1.0
904,2,2,1,1,0.5,0.5
578,3,3,1,1,0.3333333333333333,0.3333333333333333
187,1,1,1,1,1.0,1.0
296,2,2,1,1,0.5,0.5
421,3,3,1,1,0.3333333333333333,0.3333333333333333
655,1,1,1,1,1.0,1.0
218,2,2,1,1,0.5,0.5
203,3,3,2,2,0.6666666666666666,0.6666666666666666
406,4,4,2,2,0.5,0.5
171,3,3,1,1,0.3333333333333333,0.3333333333333333
156,4,4,1,1,0.25,0.25
826,5,5,1,1,0.19999999999999998,0.19999999999999998
374,6,6,1,1,0.16666666666666666,0.16666666666666666
2168,7,7,1,1,0.14285714285714285,0.14285714285714285
2715,2,1,2,1,2.0,0.5
5164,1,1,1,1,1.0,1.0
312,2,2,1,1,0.5,0.5
218,3,3,1,1,0.3333333333333333,0.3333333333333333
1326,1,1,1,1,1.0,1.0
500,2,2,2,2,1.0,1.0
2231,2,2,1,1,0.5,0.5
4492,3,3,1,1,0.3333333333333333,0.3333333333333333
406,1,1,1,1,1.0,1.0
2371,2,2,1,1,0.5,0.5
499,3,3,1,1,0.3333333333333333,0.3333333333333333
842,1,1,1,1,1.0,1.0
343,2,2,1,1,0.5,0.5
8970,3,3,1,1,0.3333333333333333,0.3333333333333333
12137,1,1,1,1,1.0,1.0
125,2,2,1,1,0.5,0.5
4197,2,1,2,1,2.0,0.5
452,3,2,2,2,1.0,0.6666666666666666
94,4,3,2,2,0.6666666666666666,0.5
156,5,4,2,2,0.5,0.39999999999999997
234,4,2,4,2,2.0,0.5
1014,3,2,3,2,1.5,0.6666666666666666
140,4,3,3,3,1.0,0.75
156,5,4,3,3,0.75,0.6
109,6,5,3,3,0.6,0.5
2185,3,3,3,3,1.0,1.0
1654,2,2,2,2,1.0,1.0
187,3,3,2,2,0.6666666666666666,0.6666666666666666
187,4,4,2,2,0.5,0.5
764,5,5,2,2,0.39999999999999997,0.39999999999999997
359,3,2,3,2,1.5,0.6666666666666666
109,4,3,3,3,1.0,0.75
219,3,3,3,3,1.0,1.0
999,4,4,3,3,0.75,0.75
5023,2,2,2,2,1.0,1.0
250,3,3,3,3,1.0,1.0
359,3,3,2,2,0.6666666666666666,0.6666666666666666
296,4,4,2,2,0.5,0.5
250,3,2,3,2,1.5,0.6666666666666666
1357,4,3,3,3,1.0,0.75
6537,2,2,2,2,1.0,1.0
1654,3,3,2,2,0.6666666666666666,0.6666666666666666
